0	5	本文总结了十个可穿戴产品的设计原则	0.4706	0.7273	0.5714	0.375	0.6	0.4615	0.4	0.6667	0.5
1	5	以iPhone为代表的触屏智能手机已经席卷全球各个角落	0.2963	0.381	0.3333	0.1538	0.2	0.1739	0.1111	0.1429	0.125
2	5	并推出了免税方式剥离其持有的阿里巴巴集团15％股权的计划	0.25	0.5833	0.35	0.2143	0.5	0.3	0.1111	0.25	0.1538
3	5	51信用卡管家创始人孙海涛说	0.6429	0.375	0.4737	0.4286	0.25	0.3158	0.25	0.125	0.1667
4	5	我所学的语言日后能否成为我获取好生活的保障	0.1905	0.2667	0.2222	0.0	0.0	0.0	0.0	0.0	0.0
5	5	媒体的体制、内容、技术就应该向哪里转变	0.1053	0.1818	0.1333	0.1111	0.2	0.1429	0.0	0.0	0.0
6	5	这部分希望下车就能踏上骑游旅程的旅客	0.2222	0.4444	0.2963	0.0	0.0	0.0	0.0	0.0	0.0
7	5	下午北京警方官方微博发布声明通报情况	0.2222	0.25	0.2353	0.2222	0.25	0.2353	0.1667	0.2	0.1818
8	5	生态衰则文明衰——这是对人类文明发展规律的深刻总结	0.48	0.8571	0.6154	0.4167	0.7143	0.5263	0.25	0.5	0.3333
9	5	中联航空成都飞北京一架航班被发现有多人吸烟	0.6667	0.6087	0.6364	0.5	0.4545	0.4762	0.2857	0.2857	0.2857
10	5	曾精心搭建的政商“朋友圈”逐渐浮出水面	0.3158	0.2609	0.2857	0.1111	0.0909	0.1	0.1667	0.1429	0.1538
11	5	中共中央政治局常委、中央书记处书记刘云山登门看望了国家最高科技奖获得者于敏、张存浩	0.1951	0.7273	0.3077	0.1	0.4	0.16	0.0769	0.3333	0.125
12	5	报告要求加强金融机构风险处置机制建设	0.2222	0.2	0.2105	0.0	0.0	0.0	0.0	0.0	0.0
13	5	河北易县一位不愿透露姓名的官员表示	0.3529	0.2857	0.3158	0.375	0.3	0.3333	0.2	0.1429	0.1667
14	5	有34项关系投资创业、10项旨在推动科研创新、8项涉及资质资格	0.0968	0.2143	0.1333	0.0667	0.1429	0.0909	0.0	0.0	0.0
15	5	马云在京以私人名义邀请微软创始人比尔·盖茨吃饭	0.087	0.087	0.087	0.0909	0.0909	0.0909	0.0	0.0	0.0
16	5	股权层面出让部分空间的意义有限	0.1333	0.087	0.1053	0.0	0.0	0.0	0.0	0.0	0.0
